prediction,w_ace,winner_name,loser_name,loser_ht,winner_ht,avg_aces_surface,winner_rank,loser_rank,surface
1.8251282244445206,1.0,Alberto Berasategui,Jordi Arrese,175,173,1.6398305084745763,38,81,Clay
1.7119479184458801,1.0,Alberto Berasategui,Richey Reneberg,180,173,1.6398305084745763,95,47,Clay
1.7990227737212148,4.0,Alberto Berasategui,Jordi Arrese,175,173,1.6398305084745763,105,38,Clay
1.6135849421215829,1.0,Alberto Berasategui,Juan Garat,180,173,1.6398305084745763,14,365,Clay
1.8016032194697598,0.0,Alberto Berasategui,Federico Mordegan,170,173,1.6398305084745763,24,333,Clay
1.5234416970574451,0.0,Alberto Berasategui,Younes El Aynaoui,193,173,1.6398305084745763,14,72,Clay
1.7357830519057096,3.0,Alberto Berasategui,Paolo Cane,180,173,1.6398305084745763,9,122,Clay
1.831080283624619,1.0,Alberto Berasategui,Marcelo Rios,175,173,1.6398305084745763,8,112,Clay
1.5398741751216019,1.0,Alberto Berasategui,Herbert Wiltschnig,185,173,1.6398305084745763,10,338,Clay
1.8308656014504825,5.0,Alberto Berasategui,Marcelo Rios,175,173,1.6398305084745763,9,111,Clay
1.6043443988479007,2.0,Alberto Berasategui,Jordi Burillo,188,173,1.6398305084745763,30,67,Clay
1.6367509107088372,2.0,Alberto Berasategui,Jacco Eltingh,188,173,1.6398305084745763,11,28,Clay
1.478105873400072,1.0,Alberto Berasategui,Sandor Noszaly,193,173,1.6398305084745763,50,113,Clay
1.4400214882326536,3.0,Alberto Berasategui,Marc Kevin Goellner,196,173,1.6398305084745763,29,111,Clay
1.529226466853677,3.0,Alberto Berasategui,Ion Moldovan,188,173,1.6398305084745763,25,228,Clay
1.7296699401165627,1.0,Alberto Berasategui,Fernando Vicente,180,173,1.6398305084745763,17,123,Clay
1.7363144271672994,0.0,Alberto Berasategui,Fernando Vicente,180,173,1.6398305084745763,27,95,Clay
1.6200485064299672,1.0,Alberto Berasategui,Paul Haarhuis,188,173,1.6398305084745763,16,55,Clay
1.7819884285209173,1.0,Alberto Berasategui,Felix Mantilla,180,173,1.6398305084745763,19,13,Clay
1.6000448812307726,1.0,Alberto Berasategui,Bernd Karbacher,185,173,1.6398305084745763,96,91,Clay
1.7285855062579483,0.0,Alberto Berasategui,Martin Rodriguez,178,173,1.6398305084745763,80,108,Clay
1.7332391746861475,2.0,Alberto Berasategui,Albert Costa,180,173,1.6398305084745763,80,25,Clay
1.5070453255185234,0.0,Alberto Berasategui,Greg Rusedski,193,173,1.6398305084745763,79,12,Clay
1.6270789266076455,2.0,Alberto Berasategui,John Van Lottum,185,173,1.6398305084745763,77,63,Clay
2.318981422459361,0.0,Alberto Berasategui,Christian Miniussi,185,173,2.3333333333333335,128,81,Hard
2.46061125942028,1.0,Alberto Berasategui,Cecil Mamiit,173,173,2.3333333333333335,23,383,Hard
2.308135303222091,10.0,Alberto Berasategui,Nicklas Kulti,190,173,2.3333333333333335,20,75,Hard
3.0523780842553148,3.0,Alberto Mancini,Claudio Pistolesi,180,180,2.975609756097561,53,111,Clay
2.737309746826389,5.0,Alberto Mancini,Martin Stringari,188,180,2.975609756097561,215,229,Clay
3.9587129929026164,5.0,Alberto Mancini,Boris Becker,190,180,3.9444444444444446,24,3,Hard
3.950682989380212,2.0,Alberto Mancini,Andrei Olhovskiy,185,180,3.9444444444444446,113,75,Hard
2.160526569924549,1.0,Alberto Martin,Salvador Navarro,180,175,2.1623376623376624,122,164,Clay
2.0371217180442995,3.0,Alberto Martin,Herbert Wiltschnig,185,175,2.1623376623376624,56,328,Clay
2.3629667359443634,3.0,Alberto Martin,Alberto Berasategui,173,175,2.1623376623376624,78,70,Clay
2.4244086727888927,4.0,Alberto Martin,Christophe Rochus,170,175,2.1623376623376624,63,76,Clay
2.069652713985302,0.0,Alberto Martin,Jiri Novak,190,175,2.1623376623376624,69,59,Clay
2.1663503473694266,2.0,Alberto Martin,Robby Ginepri,183,175,2.1623376623376624,58,134,Clay
2.201966431494911,1.0,Alberto Martin,Filippo Volandri,183,175,2.1623376623376624,65,51,Clay
2.0282890545100996,1.0,Alberto Martin,Gael Monfils,193,175,2.1623376623376624,61,45,Clay
2.0641178436938064,3.0,Alberto Martin,Daniel Elsner,183,175,2.1623376623376624,61,339,Clay
2.109481552648572,5.0,Alberto Martin,Potito Starace,188,175,2.1623376623376624,62,61,Clay
1.7702335381878316,3.0,Alberto Martin,Younes El Aynaoui,193,175,2.1623376623376624,55,582,Clay
2.144474448942907,3.0,Alberto Martin,Paul Henri Mathieu,185,175,2.1623376623376624,61,101,Clay
2.010844027810232,4.0,Alberto Martin,Dieter Kindlmann,183,175,2.1623376623376624,68,438,Clay
1.8924746171895421,4.0,Alberto Martin,Andre Ghem,193,175,2.1623376623376624,68,313,Clay
2.1913074369619507,3.0,Alberto Martin,Juan Carlos Ferrero,183,175,2.1623376623376624,101,21,Clay
2.075964072830011,2.0,Alberto Martin,Nicolas Lapentti,188,175,2.1623376623376624,93,85,Clay
2.7633516347692835,1.0,Alberto Martin,Andrew Ilie,180,175,2.660377358490566,105,61,Hard
2.9299985915764166,0.0,Alberto Martin,Alberto Berasategui,173,175,2.660377358490566,48,59,Hard
2.729325088942099,1.0,Alberto Martin,Michel Kratochvil,185,175,2.660377358490566,39,42,Hard
2.624828306051177,0.0,Alberto Martin,Irakli Labadze,188,175,2.660377358490566,68,104,Hard
2.873311708155872,3.0,Alberto Martin,Olivier Mutis,175,175,2.660377358490566,63,80,Hard
2.773908255748501,1.0,Alberto Martin,Alex Bogomolov Jr,178,175,2.660377358490566,66,169,Hard
2.5627212007158713,3.0,Alberto Martin,Gael Monfils,193,175,2.660377358490566,60,59,Hard
6.853668788358668,9.0,Alejandro Falla,Ivan Ljubicic,193,185,7.0,128,14,Carpet
3.267952157040248,4.0,Alejandro Falla,Joao Souza,193,185,3.4705882352941178,122,113,Clay
4.980192645405895,5.0,Alejandro Falla,Noam Okun,185,185,5.066666666666666,67,273,Grass
5.053512593702499,6.0,Alejandro Falla,Peter Gojowczyk,185,185,5.066666666666666,69,120,Grass
3.3997128840042365,2.0,Alejandro Falla,Justin Gimelstob,196,185,3.683333333333333,120,257,Hard
3.775905804459847,2.0,Alejandro Falla,Rainer Schuettler,180,185,3.683333333333333,103,99,Hard
3.8391355266582394,4.0,Alejandro Falla,Lleyton Hewitt,180,185,3.683333333333333,61,30,Hard
3.7962738781771916,6.0,Alejandro Falla,Karol Beck,180,185,3.683333333333333,65,112,Hard
3.9275141848161157,5.0,Alejandro Falla,Flavio Cipolla,173,185,3.683333333333333,66,99,Hard
3.489820549097348,5.0,Alejandro Falla,Michael Berrer,193,185,3.683333333333333,133,164,Hard
3.2738212446869426,3.0,Alejandro Hernandez,Hernan Gumy,188,180,3.5555555555555554,354,121,Clay
